"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","153","Test alert after login with incorrect credits","LMS System","Thu Oct 23 21:08:54 UTC 2025","passed","Thu Oct 23 21:08:54 UTC 2025","Authorization","Authentication","",""
"","216","test_exercise_create_form[chromium-0-Ex #2-Desc #2]","LMS System","Thu Oct 23 21:09:16 UTC 2025","passed","Thu Oct 23 21:09:16 UTC 2025","Create_course","Courses","",""
"","124","test_exercise_delete_button[chromium-0]","LMS System","Thu Oct 23 21:09:15 UTC 2025","passed","Thu Oct 23 21:09:15 UTC 2025","Create_course","Courses","",""
"","63","Test visibility create exercises toolbar","LMS System","Thu Oct 23 21:09:13 UTC 2025","passed","Thu Oct 23 21:09:13 UTC 2025","Create_course","Courses","",""
"","351","Test fill and visibility create course form","LMS System","Thu Oct 23 21:09:11 UTC 2025","passed","Thu Oct 23 21:09:11 UTC 2025","Create_course","Courses","",""
"","63","Test empty view before create exercises","LMS System","Thu Oct 23 21:09:14 UTC 2025","passed","Thu Oct 23 21:09:14 UTC 2025","Create_course","Courses","",""
"","1006","test_create_course[chromium]","LMS System","Thu Oct 23 21:09:07 UTC 2025","passed","Thu Oct 23 21:09:08 UTC 2025","Courses_list","Courses","",""
"","100","Test fully view after upload image","LMS System","Thu Oct 23 21:09:11 UTC 2025","passed","Thu Oct 23 21:09:11 UTC 2025","Create_course","Courses","",""
"","69","Test empty view before upload image","LMS System","Thu Oct 23 21:09:09 UTC 2025","passed","Thu Oct 23 21:09:09 UTC 2025","Create_course","Courses","",""
"","34","test_courses_full_view_edit_button[chromium-0]","LMS System","Thu Oct 23 21:09:04 UTC 2025","passed","Thu Oct 23 21:09:04 UTC 2025","Courses_list","Courses","",""
"","164","test_courses_full_view_course_card[chromium-1-Test course #2-12-3-2h 30m]","LMS System","Thu Oct 23 21:09:07 UTC 2025","passed","Thu Oct 23 21:09:08 UTC 2025","Courses_list","Courses","",""
"","241","Test URL after click registration and check visibility","LMS System","Thu Oct 23 21:08:52 UTC 2025","passed","Thu Oct 23 21:08:52 UTC 2025","Authorization","Authentication","",""
"","1163","Successful login after logout after registration","LMS System","Thu Oct 23 21:08:54 UTC 2025","passed","Thu Oct 23 21:08:55 UTC 2025","Registration","Authentication","",""
"","191","Test alert after login with incorrect credits","LMS System","Thu Oct 23 21:08:55 UTC 2025","passed","Thu Oct 23 21:08:55 UTC 2025","Authorization","Authentication","",""
"","71","Check URL after click courses button","LMS System","Thu Oct 23 21:09:18 UTC 2025","passed","Thu Oct 23 21:09:18 UTC 2025","Dashboard","Dashboard","",""
"","120","Test visibility login form","LMS System","Thu Oct 23 21:08:54 UTC 2025","passed","Thu Oct 23 21:08:54 UTC 2025","Authorization","Authentication","",""
"","210","Test visibility registration form","LMS System","Thu Oct 23 21:09:00 UTC 2025","passed","Thu Oct 23 21:09:00 UTC 2025","Registration","Authentication","",""
"","686","Successful registration with correct credits","LMS System","Thu Oct 23 21:08:54 UTC 2025","passed","Thu Oct 23 21:08:54 UTC 2025","Registration","Authentication","",""
"","1746","test_edit_course[chromium]","LMS System","Thu Oct 23 21:09:09 UTC 2025","passed","Thu Oct 23 21:09:11 UTC 2025","Courses_list","Courses","",""
"","1290","Successful login after logout after registration","LMS System","Thu Oct 23 21:08:57 UTC 2025","passed","Thu Oct 23 21:08:58 UTC 2025","Registration","Authentication","",""
"","945","Successful login after logout after registration","LMS System","Thu Oct 23 21:08:56 UTC 2025","passed","Thu Oct 23 21:08:57 UTC 2025","Registration","Authentication","",""
"","177","Test visibility login form","LMS System","Thu Oct 23 21:08:52 UTC 2025","passed","Thu Oct 23 21:08:52 UTC 2025","Authorization","Authentication","",""
"","283","Test fill and visibility create course form","LMS System","Thu Oct 23 21:09:12 UTC 2025","passed","Thu Oct 23 21:09:12 UTC 2025","Create_course","Courses","",""
"","213","test_exercise_create_form[chromium-0-Ex #4-Desc #4]","LMS System","Thu Oct 23 21:09:16 UTC 2025","passed","Thu Oct 23 21:09:16 UTC 2025","Create_course","Courses","",""
"","141","test_courses_full_view_delete_course_item[chromium-1]","LMS System","Thu Oct 23 21:09:08 UTC 2025","passed","Thu Oct 23 21:09:08 UTC 2025","Courses_list","Courses","",""
"","111","test_courses_full_view_delete_course_item[chromium-0]","LMS System","Thu Oct 23 21:09:06 UTC 2025","passed","Thu Oct 23 21:09:07 UTC 2025","Courses_list","Courses","",""
"","603","Successful registration with correct credits","LMS System","Thu Oct 23 21:08:56 UTC 2025","passed","Thu Oct 23 21:08:56 UTC 2025","Registration","Authentication","",""
"","742","Successful registration with correct credits","LMS System","Thu Oct 23 21:08:52 UTC 2025","passed","Thu Oct 23 21:08:52 UTC 2025","Registration","Authentication","",""
"","83","Check URL after click dashboard button","LMS System","Thu Oct 23 21:09:17 UTC 2025","passed","Thu Oct 23 21:09:17 UTC 2025","Dashboard","Dashboard","",""
"","50","Test visibility create course toolbar","LMS System","Thu Oct 23 21:09:07 UTC 2025","passed","Thu Oct 23 21:09:07 UTC 2025","Create_course","Courses","",""
"","165","Test visibility registration form","LMS System","Thu Oct 23 21:08:57 UTC 2025","passed","Thu Oct 23 21:08:57 UTC 2025","Registration","Authentication","",""
"","130","Test image form after upload image","LMS System","Thu Oct 23 21:09:10 UTC 2025","passed","Thu Oct 23 21:09:10 UTC 2025","Create_course","Courses","",""
"","89","test_courses_full_view_edit_course_item[chromium-1]","LMS System","Thu Oct 23 21:09:03 UTC 2025","passed","Thu Oct 23 21:09:04 UTC 2025","Courses_list","Courses","",""
"","242","Test fill and visibility create course form","LMS System","Thu Oct 23 21:09:12 UTC 2025","passed","Thu Oct 23 21:09:13 UTC 2025","Create_course","Courses","",""
"","196","Test URL after click login and check visibility","LMS System","Thu Oct 23 21:08:58 UTC 2025","passed","Thu Oct 23 21:08:59 UTC 2025","Registration","Authentication","",""
"","58","test_courses_full_view_edit_button[chromium-1]","LMS System","Thu Oct 23 21:09:05 UTC 2025","passed","Thu Oct 23 21:09:05 UTC 2025","Courses_list","Courses","",""
"","267","Test fill and visibility create course form","LMS System","Thu Oct 23 21:09:12 UTC 2025","passed","Thu Oct 23 21:09:13 UTC 2025","Create_course","Courses","",""
"","304","test_exercise_create_form[chromium-0-Ex #1-Desc #1]","LMS System","Thu Oct 23 21:09:15 UTC 2025","passed","Thu Oct 23 21:09:15 UTC 2025","Create_course","Courses","",""
"","109","Test image form upload image","LMS System","Thu Oct 23 21:09:10 UTC 2025","passed","Thu Oct 23 21:09:10 UTC 2025","Create_course","Courses","",""
"","50","test_courses_empty_view[chromium]","LMS System","Thu Oct 23 21:08:59 UTC 2025","passed","Thu Oct 23 21:08:59 UTC 2025","Courses_list","Courses","",""
"","271","test_exercise_create_form[chromium-0--]","LMS System","Thu Oct 23 21:09:16 UTC 2025","passed","Thu Oct 23 21:09:16 UTC 2025","Create_course","Courses","",""
"","154","test_courses_full_view_course_card[chromium-0-Test course #1-10-1-1h 20m]","LMS System","Thu Oct 23 21:09:06 UTC 2025","passed","Thu Oct 23 21:09:06 UTC 2025","Courses_list","Courses","",""
"","256","test_empty_courses_list[chromium]","LMS System","Thu Oct 23 21:09:02 UTC 2025","passed","Thu Oct 23 21:09:02 UTC 2025","Courses_list","Courses","",""
"","342","Check dashboard displaying navbar, sidebar and charts","LMS System","Thu Oct 23 21:09:17 UTC 2025","passed","Thu Oct 23 21:09:17 UTC 2025","Dashboard","Dashboard","",""
"","132","Test visibility registration form","LMS System","Thu Oct 23 21:09:01 UTC 2025","passed","Thu Oct 23 21:09:01 UTC 2025","Registration","Authentication","",""
"","329","Test fill and visibility create course form","LMS System","Thu Oct 23 21:09:13 UTC 2025","passed","Thu Oct 23 21:09:13 UTC 2025","Create_course","Courses","",""
"","240","Test alert after login with incorrect credits","LMS System","Thu Oct 23 21:08:52 UTC 2025","passed","Thu Oct 23 21:08:52 UTC 2025","Authorization","Authentication","",""
"","108","Test visibility login form","LMS System","Thu Oct 23 21:08:55 UTC 2025","passed","Thu Oct 23 21:08:55 UTC 2025","Authorization","Authentication","",""
"","149","test_exercise_subtitle[chromium-0]","LMS System","Thu Oct 23 21:09:14 UTC 2025","passed","Thu Oct 23 21:09:14 UTC 2025","Create_course","Courses","",""
"","135","test_courses_full_view_edit_course_item[chromium-0]","LMS System","Thu Oct 23 21:09:02 UTC 2025","passed","Thu Oct 23 21:09:02 UTC 2025","Courses_list","Courses","",""
"","81","Check URL after click logout button","LMS System","Thu Oct 23 21:09:18 UTC 2025","passed","Thu Oct 23 21:09:18 UTC 2025","Dashboard","Dashboard","",""
